Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","4","Algeria","6109","Value Local Currency","22011","Gross National Income","2017","2017","millions","18339844.362217","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","4","Algeria","6110","Value US$","22011","Gross National Income","2017","2017","millions","165263.997619","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","4","Algeria","6119","Value US$","22039","Gross National Income per capita","2013","2013","","5373.137287","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6119","Value US$","22039","Gross National Income per capita","2017","2017","","3999.792576","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","6109","Value Local Currency","22008","Gross Domestic Product","2013","2013","millions","2471.691","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","6","Andorra","6110","Value US$","22008","Gross Domestic Product","2013","2013","millions","3281.764413","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","6","Andorra","6166","Value Local Currency, 2010 prices","22008","Gross Domestic Product","2013","2013","millions","2385.164545","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","6","Andorra","6183","Value Local Currency, 2015 prices","22008","Gross Domestic Product","2013","2013","millions","2457.954727","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","6","Andorra","6167","Value US$, 2010 prices","22008","Gross Domestic Product","2013","2013","millions","3158.970256","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","6","Andorra","6184","Value US$, 2015 prices","22008","Gross Domestic Product","2013","2013","millions","2726.035931","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","6","Andorra","6155","Annual growth Local Currency","22008","Gross Domestic Product","2013","2013","%","0.351954","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","6170","Annual growth, Local Currency, 2010 prices","22008","Gross Domestic Product","2013","2013","%","0.351645","FC","Calculated data",""
"MK","Macro Indicators","6","Andorra","6181","Annual growth, Local Currency, 2015 prices","22008","Gross Domestic Product","2013","2013","%","0.351915","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","6129","Annual growth US$","22008","Gross Domestic Product","2013","2013","%","3.700898","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","6171","Annual growth, US$, 2010 prices","22008","Gross Domestic Product","2013","2013","%","0.351645","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","6182","Annual growth, US$, 2015 prices","22008","Gross Domestic Product","2013","2013","%","0.351915","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","6109","Value Local Currency","22008","Gross Domestic Product","2017","2017","millions","2674.075109","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","6","Andorra","6110","Value US$","22008","Gross Domestic Product","2017","2017","millions","3020.852315","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","6","Andorra","6166","Value Local Currency, 2010 prices","22008","Gross Domestic Product","2017","2017","millions","2549.722449","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","6","Andorra","6183","Value Local Currency, 2015 prices","22008","Gross Domestic Product","2017","2017","millions","2627.529989","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","6","Andorra","6167","Value US$, 2010 prices","22008","Gross Domestic Product","2017","2017","millions","3376.914768","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","6","Andorra","6184","Value US$, 2015 prices","22008","Gross Domestic Product","2017","2017","millions","2914.106221","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","6","Andorra","6155","Annual growth Local Currency","22008","Gross Domestic Product","2017","2017","%","2.80593","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","6170","Annual growth, Local Currency, 2010 prices","22008","Gross Domestic Product","2017","2017","%","1.724022","FC","Calculated data",""
"MK","Macro Indicators","6","Andorra","6181","Annual growth, Local Currency, 2015 prices","22008","Gross Domestic Product","2017","2017","%","1.723873","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","6129","Annual growth US$","22008","Gross Domestic Product","2017","2017","%","4.992763","Fc","Calculated data",""
