Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EK","Livestock Patterns","20","Botswana","7211","Share in total livestock","1057","Chickens","2013","2013","% of total LSU","0.8","Fc","Calculated data"
"EK","Livestock Patterns","20","Botswana","7211","Share in total livestock","1057","Chickens","2017","2017","% of total LSU","0.83","Fc","Calculated data"
"EK","Livestock Patterns","20","Botswana","5118","Stocks","1057","Chickens","2013","2013","Livestock units (LSU)","10810","Fc","Calculated data"
"EK","Livestock Patterns","20","Botswana","5118","Stocks","1057","Chickens","2017","2017","Livestock units (LSU)","11000","Fc","Calculated data"
"EK","Livestock Patterns","21","Brazil","7213","Livestock units per agricultural land area","1057","Chickens","2013","2013","LSU/ha","0.04","Fc","Calculated data"
"EK","Livestock Patterns","21","Brazil","7213","Livestock units per agricultural land area","1057","Chickens","2017","2017","LSU/ha","0.05","Fc","Calculated data"
"EK","Livestock Patterns","21","Brazil","7211","Share in total livestock","1057","Chickens","2013","2013","% of total LSU","7.04","Fc","Calculated data"
"EK","Livestock Patterns","21","Brazil","7211","Share in total livestock","1057","Chickens","2017","2017","% of total LSU","7.81","Fc","Calculated data"
"EK","Livestock Patterns","21","Brazil","5118","Stocks","1057","Chickens","2013","2013","Livestock units (LSU)","12466380","Fc","Calculated data"
"EK","Livestock Patterns","21","Brazil","5118","Stocks","1057","Chickens","2017","2017","Livestock units (LSU)","14257000","Fc","Calculated data"
"EK","Livestock Patterns","26","Brunei Darussalam","7213","Livestock units per agricultural land area","1057","Chickens","2013","2013","LSU/ha","13.19","Fc","Calculated data"
"EK","Livestock Patterns","26","Brunei Darussalam","7213","Livestock units per agricultural land area","1057","Chickens","2017","2017","LSU/ha","11.84","Fc","Calculated data"
"EK","Livestock Patterns","26","Brunei Darussalam","7211","Share in total livestock","1057","Chickens","2013","2013","% of total LSU","98.16","Fc","Calculated data"
"EK","Livestock Patterns","26","Brunei Darussalam","7211","Share in total livestock","1057","Chickens","2017","2017","% of total LSU","97.67","Fc","Calculated data"
"EK","Livestock Patterns","26","Brunei Darussalam","5118","Stocks","1057","Chickens","2013","2013","Livestock units (LSU)","190000","Fc","Calculated data"
"EK","Livestock Patterns","26","Brunei Darussalam","5118","Stocks","1057","Chickens","2017","2017","Livestock units (LSU)","170510","Fc","Calculated data"
"EK","Livestock Patterns","27","Bulgaria","7213","Livestock units per agricultural land area","1057","Chickens","2013","2013","LSU/ha","0.03","Fc","Calculated data"
"EK","Livestock Patterns","27","Bulgaria","7213","Livestock units per agricultural land area","1057","Chickens","2017","2017","LSU/ha","0.02","Fc","Calculated data"
"EK","Livestock Patterns","27","Bulgaria","7211","Share in total livestock","1057","Chickens","2013","2013","% of total LSU","17.14","Fc","Calculated data"
"EK","Livestock Patterns","27","Bulgaria","7211","Share in total livestock","1057","Chickens","2017","2017","% of total LSU","15.19","Fc","Calculated data"
"EK","Livestock Patterns","27","Bulgaria","5118","Stocks","1057","Chickens","2013","2013","Livestock units (LSU)","138370","Fc","Calculated data"
"EK","Livestock Patterns","27","Bulgaria","5118","Stocks","1057","Chickens","2017","2017","Livestock units (LSU)","124480","Fc","Calculated data"
"EK","Livestock Patterns","233","Burkina Faso","7213","Livestock units per agricultural land area","1057","Chickens","2013","2013","LSU/ha","0.03","Fc","Calculated data"
"EK","Livestock Patterns","233","Burkina Faso","7213","Livestock units per agricultural land area","1057","Chickens","2017","2017","LSU/ha","0.04","Fc","Calculated data"
"EK","Livestock Patterns","233","Burkina Faso","7211","Share in total livestock","1057","Chickens","2013","2013","% of total LSU","4.16","Fc","Calculated data"
"EK","Livestock Patterns","233","Burkina Faso","7211","Share in total livestock","1057","Chickens","2017","2017","% of total LSU","4.9","Fc","Calculated data"
"EK","Livestock Patterns","233","Burkina Faso","5118","Stocks","1057","Chickens","2013","2013","Livestock units (LSU)","327690","Fc","Calculated data"
"EK","Livestock Patterns","233","Burkina Faso","5118","Stocks","1057","Chickens","2017","2017","Livestock units (LSU)","425303.58","Fc","Calculated data"
"EK","Livestock Patterns","29","Burundi","7213","Livestock units per agricultural land area","1057","Chickens","2013","2013","LSU/ha","0.01","Fc","Calculated data"
"EK","Livestock Patterns","29","Burundi","7213","Livestock units per agricultural land area","1057","Chickens","2017","2017","LSU/ha","0.01","Fc","Calculated data"
"EK","Livestock Patterns","29","Burundi","7211","Share in total livestock","1057","Chickens","2013","2013","% of total LSU","2.21","Fc","Calculated data"
"EK","Livestock Patterns","29","Burundi","7211","Share in total livestock","1057","Chickens","2017","2017","% of total LSU","3.9","Fc","Calculated data"
"EK","Livestock Patterns","29","Burundi","5118","Stocks","1057","Chickens","2013","2013","Livestock units (LSU)","18455.24","Fc","Calculated data"
"EK","Livestock Patterns","29","Burundi","5118","Stocks","1057","Chickens","2017","2017","Livestock units (LSU)","23000","Fc","Calculated data"
"EK","Livestock Patterns","35","Cabo Verde","7213","Livestock units per agricultural land area","1057","Chickens","2013","2013","LSU/ha","0.13","Fc","Calculated data"
"EK","Livestock Patterns","35","Cabo Verde","7213","Livestock units per agricultural land area","1057","Chickens","2017","2017","LSU/ha","0.14","Fc","Calculated data"
"EK","Livestock Patterns","35","Cabo Verde","7211","Share in total livestock","1057","Chickens","2013","2013","% of total LSU","17.03","Fc","Calculated data"
"EK","Livestock Patterns","35","Cabo Verde","7211","Share in total livestock","1057","Chickens","2017","2017","% of total LSU","18.84","Fc","Calculated data"
"EK","Livestock Patterns","35","Cabo Verde","5118","Stocks","1057","Chickens","2013","2013","Livestock units (LSU)","11170","Fc","Calculated data"
"EK","Livestock Patterns","35","Cabo Verde","5118","Stocks","1057","Chickens","2017","2017","Livestock units (LSU)","10763.82","Fc","Calculated data"
"EK","Livestock Patterns","115","Cambodia","7213","Livestock units per agricultural land area","1057","Chickens","2013","2013","LSU/ha","0.02","Fc","Calculated data"
"EK","Livestock Patterns","115","Cambodia","7213","Livestock units per agricultural land area","1057","Chickens","2017","2017","LSU/ha","0.03","Fc","Calculated data"
"EK","Livestock Patterns","115","Cambodia","7211","Share in total livestock","1057","Chickens","2013","2013","% of total LSU","4.27","Fc","Calculated data"
"EK","Livestock Patterns","115","Cambodia","7211","Share in total livestock","1057","Chickens","2017","2017","% of total LSU","4.57","Fc","Calculated data"
"EK","Livestock Patterns","115","Cambodia","5118","Stocks","1057","Chickens","2013","2013","Livestock units (LSU)","130000","Fc","Calculated data"
"EK","Livestock Patterns","115","Cambodia","5118","Stocks","1057","Chickens","2017","2017","Livestock units (LSU)","138271.45","Fc","Calculated data"
