Domain Code,Domain,Area Code,Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","4","Algeria","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7004","April","","142.876029","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7005","May","","118.917211","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7005","May","","141.274171","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7006","June","","120.608828","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7006","June","","141.619399","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7007","July","","120.146222","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7007","July","","136.979536","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7008","August","","122.127831","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7008","August","","141.957723","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7009","September","","120.546687","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7009","September","","144.795496","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7010","October","","120.166936","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7010","October","","146.30069","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7011","November","","119.372912","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7011","November","","145.368575","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7012","December","","121.561657","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7012","December","","145.741421","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","6","Andorra","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7001","January","","111.1","X","International reliable sources","base year is 2010"
"CP","Consumer Price Indices","6","Andorra","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7002","February","","112.3","X","International reliable sources","base year is 2010"
"CP","Consumer Price Indices","6","Andorra","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","111.6","X","International reliable sources","base year is 2010"
"CP","Consumer Price Indices","6","Andorra","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7004","April","","110.6","X","International reliable sources","base year is 2010"
"CP","Consumer Price Indices","6","Andorra","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7005","May","","111.1","X","International reliable sources","base year is 2010"
"CP","Consumer Price Indices","6","Andorra","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7006","June","","111.9","X","International reliable sources","base year is 2010"
"CP","Consumer Price Indices","6","Andorra","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7007","July","","111.6","X","International reliable sources","base year is 2010"
"CP","Consumer Price Indices","6","Andorra","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7008","August","","111.8","X","International reliable sources","base year is 2010"
"CP","Consumer Price Indices","6","Andorra","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7009","September","","113.5","X","International reliable sources","base year is 2010"
"CP","Consumer Price Indices","6","Andorra","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7010","October","","114.4","X","International reliable sources","base year is 2010"
"CP","Consumer Price Indices","6","Andorra","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7011","November","","113.8","X","International reliable sources","base year is 2010"
"CP","Consumer Price Indices","6","Andorra","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7012","December","","113.5","X","International reliable sources","base year is 2010"
"CP","Consumer Price Indices","7","Angola","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7001","January","","137.125128","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","7","Angola","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7001","January","","262.90894","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","7","Angola","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7002","February","","138.573792","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","7","Angola","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7002","February","","266.824226","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","7","Angola","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","139.736261","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","7","Angola","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","271.763318","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","7","Angola","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7004","April","","140.716932","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","7","Angola","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7004","April","","276.18344","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","7","Angola","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7005","May","","142.031418","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","7","Angola","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7005","May","","280.364292","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","7","Angola","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7006","June","","143.146593","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","7","Angola","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7006","June","","283.62517","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","7","Angola","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7007","July","","144.065732","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","7","Angola","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7007","July","","288.889913","X","International reliable sources","base year is rescaled to 2010"
