country,food_supply_kcalcapitaday,protein_supply_gcapitaday,dom_supply_tons,pop_thousand,pop_growth,gdp_percapita_usd,gdp_growth,political_stability_index,euro_union,protein_animal_over_protein,dom_supply_poultry_tons,prod_poultry_tons,import_poultry_tons,protein_poultry_gcapitaday,net_import_poultry_tons,net_import_poultry_over_domsupply,import_poultry_over_domsupply,prod_poultry_over_domsupply,growth_net_import_poultry,growth_domsupply_poultry
Chad,2109.0,2092.0,70.51,15016.753,13.587452090260577,566.3496735000001,-18.88451802561263,-1.34,Outside EU,1.0401529636711282,7000.0,0.0,1000.0,0.15,-5000.0,-71.42857142857143,14.285714285714285,0.0,0.0,39.99999999999999
Chile,2980.0,3007.0,88.56999999999996,18470.439,5.115850336570449,11088.79336525,1.0097217175138562,0.38,Outside EU,1.5147988027934818,672000.0,115000.0,155000.0,12.21,-557000.0,-82.88690476190477,23.065476190476193,17.113095238095237,-6.386554621848739,4.510108864696738
"China, mainland",3112.0,3197.0,101.44000000000005,1421021.791,2.093455706521019,6183.55598675,26.909742356927204,-0.25,Outside EU,1.2533625273694087,18161000.0,576000.0,452000.0,3.96,-17784000.0,-97.92412312097352,2.4888497329442214,3.171631518088211,0.5825462360726119,-0.6781514902925889
Colombia,2800.0,3092.0,72.31000000000002,48909.83900000001,5.192645231227067,5036.2515215,-3.4742540394474997,-0.79,Outside EU,1.2021345407503234,1643000.0,2000.0,78000.0,9.57,-1486000.0,-90.44430919050518,4.747413268411442,0.12172854534388314,22.003284072249585,23.34834834834836
Congo,2206.0,2305.0,55.63000000000001,5110.695,10.555010186550806,1646.8291140000001,-29.197723617776273,-0.53,Outside EU,1.1574837310195227,110000.0,0.0,104000.0,7.45,97000.0,88.18181818181819,94.54545454545455,0.0,120.45454545454545,89.65517241379311
Costa Rica,2846.0,3013.0,81.15000000000002,4949.954000000001,4.3830094934593555,8421.926567,11.281346791901115,0.51,Outside EU,1.5134417524062398,134000.0,3000.0,17000.0,7.93,-116000.0,-86.56716417910447,12.686567164179104,2.2388059701492535,8.411214953271017,12.605042016806722
Cuba,3402.0,3409.0,88.4,11339.253999999999,0.5010403960107768,5696.35581575,13.152091322722104,0.69,Outside EU,0.9557054854796129,342000.0,0.0,312000.0,7.12,283000.0,82.7485380116959,91.22807017543859,0.0,73.61963190184049,50.66079295154184
Cyprus,2646.0,2612.0,80.2,1179.678,3.130786298395094,20603.960154250002,6.252326937679609,0.6,EU,1.7480857580398164,38000.0,1000.0,14000.0,9.58,-11000.0,-28.947368421052634,36.84210526315789,2.631578947368421,22.222222222222232,11.764705882352944
Azerbaijan,3113.0,3102.0,92.30000000000003,9845.32,4.899617152815394,3788.932661,-21.6857484610084,-0.76,Outside EU,0.9700193423597678,129000.0,0.0,27000.0,4.45,-77000.0,-59.68992248062015,20.930232558139537,0.0,-13.48314606741573,30.303030303030297
Benin,2619.0,2754.0,64.44999999999999,11175.198,11.700698209452032,642.66652525,4.427312994639099,0.05,Outside EU,0.5225127087872186,161000.0,0.0,123000.0,4.98,105000.0,65.21739130434783,76.3975155279503,0.0,-37.125748502994014,-20.68965517241379
Denmark,3366.0,3383.0,112.92000000000006,5732.274,1.669503001430428,43941.96381925,2.719683163618414,0.87,EU,2.1646467632279043,167000.0,139000.0,133000.0,12.97,-40000.0,-23.952095808383234,79.64071856287424,83.23353293413174,-43.66197183098591,10.596026490066235
Dominica,2930.0,2945.0,78.96000000000005,71.458,0.6223949532499606,5047.420596,-4.294151778850375,1.04,Outside EU,1.4611205432937187,4000.0,0.0,4000.0,11.52,4000.0,100.0,100.0,0.0,0.0,0.0
Dominican Republic,2611.0,2856.0,66.86,10513.104,4.62640591897161,5307.4390244999995,20.271991536260625,0.16,Outside EU,1.2020308123249301,375000.0,6000.0,42000.0,10.88,-297000.0,-79.2,11.200000000000001,1.6,19.758064516129025,30.662020905923338
Belarus,3249.0,3289.0,94.08000000000004,9450.231,0.2835993312892304,4538.334781,-11.881935349239757,0.03,Outside EU,1.55031924597142,265000.0,152000.0,21000.0,9.41,-442000.0,-166.7924528301887,7.9245283018867925,57.35849056603774,19.783197831978327,-9.55631399317406
Ecuador,2346.0,2585.0,65.77000000000002,16785.361,6.862255509701964,4395.8690625,0.5291984502326041,-0.1,Outside EU,1.158220502901354,341000.0,0.0,0.0,6.15,-340000.0,-99.70674486803519,0.0,0.0,-0.2932551319648091,-0.8720930232558155
Egypt,3518.0,3315.0,96.27000000000001,96442.591,9.09222010797941,2068.5873269999997,-6.4980863467580585,-1.42,Outside EU,0.7254901960784315,1250000.0,1000.0,110000.0,4.51,-1008000.0,-80.64,8.799999999999999,0.08,7.807486631016047,5.57432432432432
El Salvador,2576.0,2660.0,74.69999999999999,6388.126,1.947887591424946,2776.9457085000004,8.26283630497764,-0.25,Outside EU,0.9759398496240601,131000.0,2000.0,16000.0,6.25,-120000.0,-91.6030534351145,12.213740458015266,1.5267175572519083,23.71134020618557,3.9682539682539764
Estonia,3248.0,3241.0,107.29,1319.39,0.02486615488885846,14672.123636,11.499577854971,0.66,EU,1.8972539339709966,29000.0,11000.0,21000.0,7.27,1000.0,3.4482758620689653,72.41379310344827,37.93103448275862,-50.0,7.407407407407418
Fiji,2943.0,2941.0,73.88000000000001,877.459,1.3690954797090482,3951.24648775,17.279671549274056,0.79,Outside EU,1.0612036722203333,26000.0,0.0,3000.0,9.44,-20000.0,-76.92307692307693,11.538461538461538,0.0,17.647058823529417,36.8421052631579
Finland,3366.0,3337.0,117.77000000000008,5511.371,1.3309292069729306,34572.45689,-0.2955570857337997,1.07,EU,2.203775846568775,111000.0,12000.0,16000.0,7.87,-113000.0,-101.8018018018018,14.414414414414415,10.81081081081081,18.947368421052623,-2.631578947368418
France,3482.0,3556.0,112.07999999999997,64842.509000000005,1.485258482764884,29706.014505000003,-0.8941641204916362,0.21,EU,1.9589426321709786,1573000.0,501000.0,506000.0,8.95,-1244000.0,-79.08455181182454,32.16783216783217,31.84996821360458,-2.7365129007036693,1.7464424320827954
French Polynesia,2923.0,2917.0,97.51000000000005,276.10200000000003,2.1359237666834563,15391.470718999997,-1.5076054060927935,0.21,Outside EU,2.2156324991429552,15000.0,0.0,15000.0,16.2,14000.0,93.33333333333333,100.0,0.0,-12.5,-6.25
Djibouti,2609.0,2677.0,66.43,944.0989999999999,6.884012439813292,1853.3579610000002,24.6236565519649,-0.71,Outside EU,0.47964138961524094,3000.0,0.0,3000.0,0.92,3000.0,100.0,100.0,0.0,50.0,50.0
Georgia,2902.0,2871.0,76.89,4008.716,-0.9876007144019705,3087.8784335,11.477635629355799,-0.37,Outside EU,0.9878091257401603,61000.0,5000.0,51000.0,5.19,29000.0,47.540983606557376,83.60655737704919,8.19672131147541,-12.121212121212121,15.094339622641506
Gabon,2826.0,2640.0,79.31000000000002,2064.823,13.634690113925085,6023.52842325,-8.69464436929135,-0.09,Outside EU,1.469318181818182,78000.0,0.0,76000.0,10.59,72000.0,92.3076923076923,97.43589743589743,0.0,9.090909090909083,5.405405405405395
Gambia,2621.0,2542.0,63.48000000000001,2213.889,12.740004644265547,555.08309775,-2.878614057002349,-0.21,Outside EU,0.6522423288749016,8000.0,0.0,16000.0,1.24,14000.0,175.0,200.0,0.0,366.6666666666667,60.00000000000001
Germany,3503.0,3559.0,104.07000000000001,82658.409,1.8282150571004685,33703.072725,3.933165900512914,0.58,EU,1.7724079797695986,1739000.0,646000.0,842000.0,7.96,-672000.0,-38.6428982173663,48.4186313973548,37.1477860839563,0.4484304932735439,10.834926704907577
Bosnia and Herzegovina,3156.0,3266.0,94.58,3351.525,-5.393797673238277,3909.64476325,9.809552932931688,-0.38,Outside EU,1.0636864666258419,55000.0,8000.0,10000.0,5.66,-51000.0,-92.72727272727272,18.181818181818183,14.545454545454545,82.14285714285714,7.843137254901955
