country,food_supply_kcalcapitaday,protein_supply_gcapitaday,pop_thousand,pop_growth,gdp_percapita_usd,gdp_growth,political_stability_index,euro_union,protein_animal_over_protein,dom_supply_poultry_tons,export_poultry_tons,import_poultry_tons,prod_poultry_tons,protein_poultry_gcapitaday,net_import_poultry_tons,net_import_poultry_over_domsupply,import_poultry_over_domsupply,prod_poultry_over_domsupply,growth_import_poultry,growth_domsupply_poultry,import_french_chicken_tons,cluster,producer
Cambodia,2468.0,65.38,16009.409,6.5423617686604985,954.7866495,27.550795562772397,0.17,Outside EU,29.305598042214747,38000.0,0.0,10000.0,28000.0,0.74,10000.0,26.315789473684212,26.315789473684212,73.68421052631578,900.0,35.714285714285715,0.0,11,insufficient production
Democratic People's Republic of Korea,2033.0,52.27000000000001,25429.825,2.0069719015991305,473.10891850000013,-0.4692172068171741,-0.48,Outside EU,20.164530323321213,43000.0,0.0,0.0,43000.0,0.49,0.0,0.0,0.0,100.0,0.0,-2.2727272727272707,0.0,13,surplus production
Republic of Korea,3370.0,96.96999999999998,51096.415,1.4910861235723385,22197.10192375,12.861419448660751,0.29,Outside EU,50.706404042487364,854000.0,6000.0,137000.0,838000.0,5.68,131000.0,15.339578454332552,16.04215456674473,98.12646370023418,4.580152671755734,8.375634517766509,86.0,5,insufficient production
Kuwait,3445.0,99.68999999999996,4056.099,15.021739031799244,22385.791044250003,-23.99926901325057,-0.04,Outside EU,47.55742802688336,189000.0,4000.0,137000.0,56000.0,15.87,133000.0,70.37037037037038,72.4867724867725,29.629629629629626,-1.4388489208633115,4.419889502762442,1959.0,2,insufficient production
Latvia,3170.0,97.27000000000002,1951.097,-4.589827561166316,11421.96679675,12.386992584696975,0.46,EU,57.191323121208974,41000.0,20000.0,43000.0,33000.0,7.22,23000.0,56.09756097560976,104.8780487804878,80.4878048780488,48.27586206896552,-2.380952380952384,259.0,5,insufficient production
Lao People's Democratic Republic,3044.0,83.19000000000003,6953.035,6.294326024291187,1659.1397869999998,28.04227216210229,0.43,Outside EU,24.149537203990864,0.0,0.0,0.0,0.0,3.59,0.0,0.0,0.0,0.0,0.0,-100.0,1.0,7,insufficient production
Lebanon,2877.0,67.55,6819.373000000001,15.328050529830616,6048.83988725,-6.519624048356666,-1.59,Outside EU,30.051813471502577,73000.0,4000.0,13000.0,64000.0,3.9,9000.0,12.32876712328767,17.808219178082194,87.67123287671231,-23.52941176470589,-25.510204081632647,104.0,9,insufficient production
Lesotho,2277.0,63.95,2091.534,3.105894416153565,899.5546265,-0.17146465705049074,-0.25,Outside EU,19.10867865519937,17000.0,0.0,15000.0,2000.0,2.72,15000.0,88.23529411764706,88.23529411764706,11.764705882352938,-11.764705882352946,-19.047619047619047,0.0,9,insufficient production
Liberia,2127.0,39.91,4702.226,10.6839998926638,324.63960325,0.3922767138180516,-0.41,Outside EU,24.55524931094964,50000.0,0.0,48000.0,15000.0,3.74,48000.0,96.0,96.0,30.0,92.0,31.57894736842107,393.0,10,insufficient production
Lithuania,3419.0,125.06000000000002,2845.414,-5.434482776956884,12079.80836475,13.18240155252024,0.78,EU,61.60243083320007,82000.0,68000.0,44000.0,118000.0,9.74,-24000.0,-29.268292682926827,53.65853658536586,143.90243902439025,33.33333333333333,1.2345679012345734,444.0,5,surplus production
"China, Macao SAR",2999.0,100.37000000000006,622.585,7.830826572816153,54100.608629999995,-17.84573485307652,1.44,Outside EU,66.8426820763176,19000.0,0.0,23000.0,3000.0,11.9,23000.0,121.05263157894736,121.05263157894736,15.789473684210524,35.29411764705883,-9.523809523809524,52.0,5,insufficient production
Madagascar,1901.0,42.94,25570.512,11.363738610977506,368.118019,-0.3429102718302435,-0.33,Outside EU,21.471821145784816,82000.0,0.0,0.0,81000.0,0.97,0.0,0.0,0.0,98.78048780487805,0.0,13.888888888888884,26.0,13,insufficient production
Malawi,2646.0,67.97999999999999,17670.196,11.55929629656287,301.48372225,5.696507686130393,-0.27,Outside EU,16.85789938217123,98000.0,0.0,0.0,130000.0,1.74,0.0,0.0,0.0,132.6530612244898,0.0,326.0869565217392,0.0,12,surplus production
